RRinc	Quintile Index(i)	Running POP	pop
0  0	0.7647675	0.7647675
38	0	7.0122576	6.2474901
60	0	13.2597477	6.2474901
63	0	13.9900219	0.7302742
74	0	17.1826113	3.1925894
75	0	17.6064074	0.4237961
76	0	23.8538975	6.2474901
77	0	24.2197435	0.365846
84	0	39.2863165	15.066573
92	0	45.5338066	6.2474901
108	0	50.959686	5.4258794
110	0	57.2071761	6.2474901
112	0	61.0527179	3.8455418
116	0	62.0145645	0.9618466
124	0	66.2413312	4.2267667
127	0	81.3079042	15.066573
128	0	82.3083134	1.0004092
132	0	82.7321095	0.4237961
133	0	83.0979555	0.365846
134	0	89.3454456	6.2474901
136	0	90.7459569	1.4005113
142	0	92.7005851	1.9546282
144	0	93.4949236	0.7943385
148	0	94.7328848	1.2379612
159	0	94.8360595	0.1031747
161	0	96.2820585	1.445999
164	0	102.5295486	6.2474901
167	0	106.3750904	3.8455418
168	0	107.5352749	1.1601845
173	0	122.6018479	15.066573
176	0	126.8286146	4.2267667
177	0	128.7832428	1.9546282
181	0	129.7391538	0.955911
182	0	130.739563	1.0004092
183	0	131.1633591	0.4237961
184	0	133.3966491	2.23329
185	0	133.9602068	0.5635577
193	0	140.6779715	6.7177647
196	0	145.1785497	4.5005782
201	0	145.5443957	0.365846
206	0	146.944907	1.4005113
209	0	150.7904488	3.8455418
210	0	157.0379389	6.2474901
215	0	158.9925671	1.9546282
220	0	159.7869056	0.7943385
221	0	160.3645893	0.5776837
222	0	164.591356	4.2267667
223	0	181.103928	16.512572
225	0	182.5489287	1.4450007
226	0	183.5493379	1.0004092
229	0	183.6525126	0.1031747
233	0	185.9151721	2.2626595
235	0	187.8138728	1.8987007
236	0	188.1797188	0.365846
238	0	190.4130088	2.23329
239	0	190.8368049	0.4237961
245	0	194.6823467	3.8455418
246	0	195.0118721	0.3295254
247	0	209.5597021	14.54783
249	0	210.7976633	1.2379612
250	0	211.5920018	0.7943385
252	0	213.1501129	1.5581111
254	0	214.5191975	1.3690846
259	0	218.0253515	3.506154
262	0	219.4258628	1.4005113
265	0	254.6039748	35.178112
267	0	254.7117659	0.1077911
268	1	346.0906192	91.3788533
271	1	346.5289892	0.43837
273	1	347.5293984	1.0004092
274	1	347.8952444	0.365846
278	1	362.9618174	15.066573
279	1	366.8073592	3.8455418
284	1	368.2533582	1.445999
285	1	443.6262286	75.3728704
286	1	447.5545063	3.9282777
288	1	448.999507	1.4450007
289	1	455.2469971	6.2474901
291	1	457.4802871	2.23329
293	1	458.0579708	0.5776837
296	1	460.9485066	2.8905358
302	1	473.039093	12.0905864
303	1	488.0107191	14.9716261
309	1	488.1138938	0.1031747
312	1	499.5184226	11.4045288
313	1	502.8553152	3.3368926
316	1	507.7796007	4.9242855
317	1	512.0063674	4.2267667
320	1	513.2443286	1.2379612
321	1	518.4116274	5.1672988
322	1	527.4289413	9.0173139
324	1	528.9804671	1.5515258
325	1	529.5826672	0.6022001
326	1	539.0953064	9.5126392
328	1	539.2030975	0.1077911
332	1	539.997436	0.7943385
336	1	542.2600955	2.2626595
344	1	609.2490063	66.9889108
345	2	610.6950053	1.445999
346	2	631.2943297	20.5993244
348	2	632.7000037	1.405674
350	2	634.9332937	2.23329
353	2	718.8415497	83.908256
354	2	720.7402504	1.8987007
357	2	738.4220196	17.6817692
361	2	743.3013218	4.8793022
362	2	743.8790055	0.5776837
363	2	744.2085309	0.3295254
367	2	748.0540727	3.8455418
370	2	752.2808394	4.2267667
378	2	753.6813507	1.4005113
379	2	756.5718865	2.8905358
381	2	757.0658189	0.4939324
383	2	757.4316649	0.365846
385	2	832.8045353	75.3728704
386	2	832.9123264	0.1077911
389	2	836.4184804	3.506154
391	2	837.4188896	1.0004092
392	2	849.7793294	12.3604398
393	2	850.3815295	0.6022001
394	2	851.7637939	1.3822644
398	2	867.9957241	16.2319302
402	2	868.6187483	0.6230242
403	2	874.7859606	6.1672123
406	2	875.1266093	0.3406487
407	2	875.7395721	0.6129628
408	3	959.6478281	83.908256
409	3	962.4423576	2.7945295
410	3	978.4361866	15.993829
414	3	995.1804124	16.7442258
415	3	996.4183736	1.2379612
418	3	998.6516636	2.23329
422	3	1008.338119	9.6864555
423	3	1043.516231	35.178112
427	3	1058.582804	15.066573
430	3	1059.160488	0.5776837
431	3	1063.00603	3.8455418
432	3	1063.967876	0.9618466
433	3	1067.101815	3.1339392
434	3	1075.614045	8.51223
435	3	1080.40437	4.7903244
436	3	1082.42607	2.0217
443	3	1082.533861	0.1077911
447	3	1082.618226	0.0843651
448	3	1093.680942	11.0627158
450	3	1094.119312	0.43837
452	3	1095.519823	1.4005113
458	3	1099.961885	4.4420616
460	3	1183.870141	83.908256
462	3	1184.472341	0.6022001
465	3	1195.87687	11.4045288
466	3	1211.8697	15.9928307
470	3	1212.825611	0.955911
471	3	1219.603614	6.7780029
474	4	1221.315404	1.7117898
475	4	1222.315813	1.0004092
476	4	1224.578473	2.2626595
479	4	1241.322699	16.7442258
482	4	1319.270727	77.9480287
484	4	1319.636573	0.365846
485	4	1322.451657	2.8150836
488	4	1334.542243	12.0905864
497	4	1337.560072	3.0178292
502	4	1339.793362	2.23329
503	4	1340.478837	0.6854748
506	4	1375.656949	35.178112
507	4	1376.726619	1.0696695
511	4	1377.520957	0.7943385
514	4	1467.805189	90.2842319
516	4	1470.939128	3.1339392
520	4	1476.739298	5.80017
523	4	1481.036201	4.296903
527	4	1490.053515	9.0173139
529	4	1491.929393	1.8758778
530	4	1506.477223	14.54783
533	4	1507.922224	1.4450007
534	4	1519.326753	11.4045288
535	4	1522.217288	2.8905358
536	4	1522.819488	0.6022001
538	5	1532.883244	10.0637558
542	5	1557.4598	24.5765556
544	5	1558.190074	0.7302742
546	5	1573.256647	15.066573
549	5	1574.657158	1.4005113
551	5	1576.919818	2.2626595
556	5	1578.941518	2.0217
557	5	1580.323782	1.3822644
559	5	1581.279693	0.955911
560	5	1582.517654	1.2379612
565	5	1587.018233	4.5005782
569	5	1588.103074	1.0848414
575	5	1589.549073	1.445999
576	5	1673.457329	83.908256
582	5	1760.920786	87.4634568
583	5	1761.827995	0.9072091
588	5	1763.726696	1.8987007
595	5	1798.904808	35.178112
597	5	1799.905217	1.0004092
602	5	1799.989582	0.0843651
606	5	1811.394111	11.4045288
