id,category,views,likes,comment_count,country
1,Film & Animation,291251820 ,5574119 ,846225 ,Japan
2,Film & Animation,332399417 ,6858521 ,758929 ,India
3,Film & Animation,440194275 ,17131607 ,1982084 ,Mexico
4,Film & Animation,834583012 ,22920147 ,2624238 ,France
5,Film & Animation,2554173603 ,70668599 ,9365728 ,Canada
6,Film & Animation,6541664472 ,157189062 ,17098875 ,United States
7,Film & Animation,6770546284 ,123431208 ,13809089 ,United Kingdom
8,Music,460612722 ,11272800 ,747532 ,India
9,Music,1036625565 ,81475779 ,10976078 ,Japan
10,Music,3240326161 ,186286224 ,18770268 ,Mexico
11,Music,4024335567 ,232348031 ,22080210 ,France
12,Music,10863680470 ,479503246 ,46170055 ,Canada
13,Music,32318043495 ,1219080723 ,113972716 ,United States
14,Music,134862497158 ,3150667077 ,260959478 ,United Kingdom
15,Pets & Animals,4735455 ,361228 ,41928 ,India
16,Pets & Animals,24457536 ,1236052 ,177223 ,France
17,Pets & Animals,41776773 ,890315 ,157377 ,Mexico
18,Pets & Animals,70213930 ,1377980 ,225945 ,Japan
19,Pets & Animals,214254473 ,8312961 ,1750170 ,Canada
20,Pets & Animals,500832837 ,14547027 ,1327146 ,United Kingdom
21,Pets & Animals,713751657 ,17358579 ,2348949 ,United States
22,Sports,70861364 ,1985110 ,137948 ,India
23,Sports,543104315 ,5340954 ,1007349 ,Japan
24,Sports,1269157532 ,27696693 ,2866955 ,Mexico
25,Sports,1737245744 ,39689796 ,3952204 ,France
26,Sports,2569430965 ,24734144 ,5733691 ,United Kingdom
27,Sports,2574670751 ,54133165 ,6595790 ,Canada
28,Sports,3913429238 ,89026732 ,10001425 ,United States
29,Travel & Events,587223 ,1859 ,70 ,India
30,Travel & Events,8691849 ,733268 ,87699 ,France
31,Travel & Events,14421155 ,846343 ,97037 ,Mexico
32,Travel & Events,14443311 ,163801 ,47005 ,Japan
33,Travel & Events,107018939 ,2465270 ,403341 ,Canada
34,Travel & Events,132784993 ,928747 ,118177 ,United Kingdom
35,Travel & Events,314511355 ,4374282 ,810669 ,United States
36,Autos & Vehicles,738793 ,12707 ,2508 ,India
37,Autos & Vehicles,23269773 ,294007 ,45599 ,Japan
38,Autos & Vehicles,34310678 ,1471110 ,194534 ,France
39,Autos & Vehicles,47131287 ,2846644 ,356707 ,Mexico
40,Autos & Vehicles,139794976 ,3386337 ,625481 ,Canada
41,Autos & Vehicles,166921973 ,3143885 ,378500 ,United Kingdom
42,Autos & Vehicles,462887924 ,3268160 ,506887 ,United States
43,Gaming,160757734 ,2686812 ,544538 ,Japan
44,Gaming,374798619 ,21716021 ,2491489 ,Mexico
45,Gaming,380815567 ,19514949 ,2588296 ,France
46,Gaming,1110384355 ,46333879 ,8762486 ,Canada
47,Gaming,1692384032 ,69134314 ,6002102 ,United Kingdom
48,Gaming,1964020751 ,64672710 ,13666534 ,United States
49,People & Blogs,82490656 ,2282341 ,337006 ,India
50,People & Blogs,566853286 ,9314605 ,1627881 ,Japan
51,People & Blogs,1111817870 ,44620830 ,6885112 ,Mexico
52,People & Blogs,1170656737 ,26738442 ,3748656 ,France
53,People & Blogs,2903628340 ,97308108 ,15461299 ,Canada
54,People & Blogs,4640341543 ,180648784 ,24083466 ,United States
55,People & Blogs,5470224503 ,126577568 ,15252599 ,United Kingdom
56,Comedy,153568779 ,7361484 ,539208 ,India
57,Comedy,254839349 ,6089578 ,986116 ,Japan
58,Comedy,735923231 ,52035592 ,6502406 ,Mexico
59,Comedy,1614509064 ,112446371 ,7626761 ,France
60,Comedy,3242584522 ,169827061 ,16907711 ,Canada
61,Comedy,3253104328 ,113588389 ,12784533 ,United Kingdom
62,Comedy,4830511464 ,205423467 ,21178178 ,United States
63,Entertainment,542347780 ,10142717 ,1087709 ,India
64,Entertainment,1713694143 ,38446095 ,5821840 ,Japan
65,Entertainment,3368401442 ,109613741 ,13887600 ,France
66,Entertainment,3780266979 ,177344305 ,27792459 ,Mexico
67,Entertainment,12095912006 ,352247615 ,49583134 ,Canada
68,Entertainment,19258606685 ,502188258 ,70084915 ,United States
69,Entertainment,27079507896 ,658086409 ,94035031 ,United Kingdom
70,News & Politics,76543011 ,465219 ,180974 ,India
71,News & Politics,163801403 ,982280 ,375141 ,Japan
72,News & Politics,396382053 ,6046025 ,1358444 ,France
73,News & Politics,401389696 ,8812466 ,1732789 ,Mexico
74,News & Politics,1105761772 ,16044768 ,6938468 ,United Kingdom
75,News & Politics,1136850419 ,14765782 ,5155686 ,United States
