video_id,youtube_category,views,name,state,likes,comment_count
1,Film & Animation,1662159,BTS on The Ellen DeGeneres Show (Full Show) HD,Canada,78245,7317
2,Film & Animation,1680809,Film Theory: How Star Wars Theories KILLED Star Wars: The Last Jedi!,Mexico,82529,25932
3,Film & Animation,1711525,Red Sparrow | Official Trailer [HD] | 20th Century FOX,United States,7716,1155
4,Film & Animation,1711813,Red Sparrow | Official Trailer [HD] | 20th Century FOX,Mexico,7717,1155
5,Film & Animation,1716909,Honest Trailers - Black Panther,Mexico,60724,9547
6,Film & Animation,1734329,???? ??? ????? - ???????? ???? ?????? ????? ???? ??? ????? ?? ?? ??? ????,France,9815,1021
7,Film & Animation,1752375,Justice League - SUPERMAN Return - Superman Memorable Moments [HD],Canada,12964,1961
8,Film & Animation,1767675,Ranbir Kapoor in and as SHAMSHERA | Film Announcement,Canada,35101,2671
9,Film & Animation,1829800,The Flash 4x11 No one Can Bully Barry Even In The Prison || The Flash Scenes,Canada,19899,1453
10,Film & Animation,1831808,Selena Gomez - Back To You (Lyric Video),Mexico,279457,20745
11,Film & Animation,1844039,Hereditary | Official Trailer HD | A24,Canada,13424,1491
12,Film & Animation,1844067,do you know how big my mousepad is?,Japan,150681,9415
13,Film & Animation,1864342,How to Make Life More Interesting,Mexico,159424,61862
14,Film & Animation,1884144,Everything Wrong With Ratatouille In 15 Minutes Or Less,United States,55281,7353
15,Film & Animation,1903786,SPIDERMAN Fights Crime - Real Life Parkour POV,France,9788,356
16,Film & Animation,1931851,Skipping in High School,United States,116455,12018
17,Film & Animation,2108246,Westworld Season 2 | Official Trailer | HBO,Mexico,27678,2677
18,Film & Animation,2110582,Annihilation (2018) - Official Trailer - Paramount Pictures,Mexico,15606,2177
19,Film & Animation,2142891,Film Theory: How To SAVE Jurassic Park (Jurassic World),United States,72620,11349
20,Film & Animation,2247502,The Little Mermaid 2018 - FINAL TRAILER,Canada,50967,3297
21,Film & Animation,2337600,Westworld Season 2 | Official Super Bowl Ad | HBO,Canada,10752,908
22,Film & Animation,2337600,Westworld Season 2 | Official Super Bowl Ad | HBO,France,10753,908
23,Film & Animation,2337600,Westworld Season 2 | Official Super Bowl Ad | HBO,Mexico,10754,908
24,Film & Animation,2337600,Westworld Season 2 | Official Super Bowl Ad | HBO,United States,10752,908
25,Film & Animation,2420770,S?z | 21.B?lüm,France,26900,3621
26,Film & Animation,2480775,Black Panther (2018) T'Challa and Shuri New Suit HD,Canada,33329,1735
27,Film & Animation,2580854,Bucket List (Marathi with English Subtitle) | Official Trailer | Madhuri Dixit Nene | 25th May,Canada,17711,1285
28,Film & Animation,2593398,Lucas the Spider - Giant Spider,France,171090,10330
29,Film & Animation,2593398,Lucas the Spider - Giant Spider,Mexico,171093,10330
30,Film & Animation,2671756,The Greatest Showman | Official Trailer 2 [HD] | 20th Century FOX,Canada,12699,1010
31,Film & Animation,2736733,Everything Wrong With Baby Driver In 14 Minutes Or Less,Canada,58967,7915
32,Film & Animation,2737299,AVENGERS INFINITY WAR Extended Movie Clip Avengers Vs Black Order Fight Scene + Trailer (2018),Canada,38515,3331
33,Film & Animation,2737299,AVENGERS INFINITY WAR Extended Movie Clip Avengers Vs Black Order Fight Scene + Trailer (2018),Mexico,38516,3331
