trending_date,title,channel_title,category_id,tags,views,likes,dislikes,comment_count
17.14.11,Sharry Mann: Cute Munda ( Song Teaser) | Parmish Verma | Releasing on 17 November,Lokdhun Punjabi,1,sharry mann|"sharry mann new song"|"sharry mann cute munda"|"sharry mann latest song"|"sharry mann punjabi song 2017"|"parmish verma"|"parmish verma new song"|"parmish verma sharry mann"|"parmish verma sharry mann new song"|"parmish verma cute munda"|"new punjabi song 2017"|"punjabi song 2017"|"parmish verma new song 2017"|"parmish verma latest song 2017"|"punjabi songs 2017",1096327,33966,798,882
17.14.11,Stylish Star Allu Arjun @ ChaySam Wedding Reception | TFPC,TFPC,24,Stylish Star Allu Arjun @ ChaySam Wedding Reception|"Stylish Star Allu Arjun"|"ChaySam Wedding Reception"|"nagachaitanya"|"samantha"|"chaysam"|"chay sam"|"naga chaitanya and samantha wedding reception"|"wedding reception"|"nagarjuna"|"akkineni wedding reception"|"tfpc"|"telugu cinema"|"celebrities @ chaysam wedding reception",473988,2011,243,149
17.14.11,Eruma Saani | Tamil vs English,Eruma Saani,23,Eruma Saani|"Tamil Comedy Videos"|"Films"|"Movies"|"Harija"|"Short"|"Film"|"Eruma Sani"|"Eruma Saani Videos"|"Eruma Saani Short Film"|"Eruma Saani Comedy"|"Eruma Saani Harija"|"Eruma Saani Tamil vs English"|"Tamil vs English"|"Tamil"|"English"|"Hindi"|"TTV Dinakaran"|"Sasikala"|"Sasikala income tax raid",1242680,70353,1624,2684
17.14.11,why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception | Filmylooks,Filmylooks,24,Filmylooks|"latest news"|"telugu movies"|"telugu news"|"Tollywood news"|"why Samantha became EMOTIONAL @ Samantha naga chaithanya marriage Reception"|"why Samantha became EMOTIONAL"|"samantha emotional moment"|"ChaySam Wedding Reception video"|"Naga Chaitanya and Samantha Wedding Reception LIVE"|"samantha ruth prabhu",464015,492,293,66
17.14.11,"MCA (Middle Class Abbayi) TEASER - Nani,Sai Pallavi, Dil Raju, Devi Sri Prasad, Sriram Venu",Dil Raju,24,Nenu Local|"Nenu Local Telugu Movie"|"Nani"|"Sai Pallavi"|"Dil Raju"|"Devi Sri Prasad"|"Telugu Latest Movies"|"Telugu Full Movies"|"Telugu Comedy Movies"|"Nani Trailer"|"Nani Movies"|"MCA MOVIE"|"Middle Class Abbayi"|"MCA"|"MCA - Middle class abbayi"|"Fidaa"|"Nani MCA"|"MCA Trailer"|"MCA Teaser"|"MCA First Look"|"Nani MCA Teaser"|"Nani MCA Trailer",6106669,98612,4185,4763
17.14.11,Daang ( Full Video ) | Mankirt Aulakh | Sukh Sanghera | Latest Punjabi Song 2017 | Speed Records,Speed Records,10,punjabi songs|"punjabi bhangra"|"punjabi music"|"punjabi bhangra music"|"punjabi latest songs"|"punjabi romantic songs"|"punjabi sad songs"|"punjabi"|"bhangra"|"latest punjabi songs 2017"|"punjab"|"desi"|"speed records"|"mankirt new song"|"daang"|"sukh sanghera"|"deep kahlon"|"mankirt aulakh",5718766,127477,7134,8063
17.14.11,Padmavati : Ek Dil Ek Jaan Video Song | Deepika Padukone | Shahid Kapoor | Sanjay Leela Bhansali,T-Series,10,Ek Dil Ek Jaan Video Song|"'Ek Dil Ek Jaan'"|"Ek Dil Ek Jaan Video"|"Padmavati"|"Padmavati songs"|"Padmavati movie song"|"deepika padukone"|"ranveer singh"|"ghoomar"|"padmavati song"|"Deepika Padukone"|"Shahid Kapoor"|"Sanjay Leela Bhansali"|"Padmavati Deepika Padukone"|"Ghoomar"|"Ghoomar Deepika Padukone"|"Padmavati Songs"|"new hindi songs"|"hindi songs"|"shahid kapoor"|"sanjay leela bhansali"|"indian songs"|"padmavati songs"|"love song"|"love song 2017"|"do dil ek jaan",10588371,132738,8812,10847
17.14.11,"Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya, Samantha Akkineni, Nag, Venkatesh",Top Telugu Media,24,Chiranjeevi in Naga Chaitanya - Samantha Reception | Chaitanya|"Samantha Akkineni"|"Nag"|"Venkatesh"|"Megastar Chiranjeevi"|"Megastar Chiranjeevi @ #ChaySam Wedding Reception"|"Chiranjeevi @ #ChaySam Wedding Reception"|"Naga Chaitanya - Samantha Akkineni Reception LIVE"|"Naga Chaitanya"|"Samantha"|"Naga Chaitanya Samantha"|"Nagarjuna"|"#ChaiSam"|"Reception LIVE"|"Akkineni Reception"|"chiranjeevi rama charan"|"naga chaitanya samantha wedding reception"|"Akkineni family"|"Daggubati family"|"reception",118223,520,53,23
17.14.11,New bike vs Old bike - the reality,Jump Cuts,24,Jump cuts|"Jumpcuts"|"Tamil comedy"|"Tamil Comedy Videos"|"new bike vs old bike"|"jumpcuts reality"|"the reality"|"bike scenario jumpcuts"|"jumpcuts bike story"|"hari baskar videos"|"hari baskar jumpcuts"|"hari baskar bike video"|"tamil viral videos"|"viral videos"|"trending videos"|"jumpcuts trending videos"|"swathi videos"|"kaghs"|"jumpcuts old vs new"|"jumpcuts tamil comedy"|"jumpcuts youtube channel"|"hot story jumpcuts"|"hot scenario",969030,59798,1545,2404
17.14.11,Mehjabi Reveals Hina Khan Dirty Politics | Exclusive Interview | Bigg Boss  11,TellyMasala,24,Hina khan|"Hina khan bigg boss"|"Bigg boss 11"|"Big boss"|"Bigg boss"|"Bigg boss 11 eviction"|"Bb 11"|"Bigg boss season 11"|"Bigg boss 11 full episode"|"Tellymasala"|"Telly masala"|"Telly masala latest interview"|"Telly masala bigg boss"|"Mehjabi"|"siddiqui"|"mahjabi siddiqui interview"|"mehjabi reveals"|"hina khan bigg boss 11"|"bigg boss 11"|"telly masala"|"tellymasala bigg boss"|"telly masala latest interview"|"bigg boss full episode",632747,4330,2183,2869
